test,set,lab_id,file_id,substrate,bottle_id,mass_inoc,mass_sub,c_vs_sub_m,c_vs_sub_f,c_vs_inoc,ISR
1,1.3,E12,38,Cellulose,1301,372.1,3.56,0.9824,0.989,0.01882,1.988
1,1.3,E12,38,Cellulose,1302,372.1,3.56,0.9824,0.989,0.01882,1.989
1,1.3,E12,38,Cellulose,1303,372.2,3.56,0.9824,0.989,0.01882,1.989
1,1.3,E12,38,Rabbit feed,1312,372.1,4.35,0.8056,0.803,0.01882,2.004
1,1.3,E12,38,Rabbit feed,1313,372.1,4.35,0.8056,0.803,0.01882,2.004
1,1.3,E12,38,Rabbit feed,1314,372.2,4.35,0.8056,0.803,0.01882,2.005
1,1.3,E12,38,Sunflower seeds,1309,372.1,3.82,0.916,0.915,0.01882,2.003
1,1.3,E12,38,Sunflower seeds,1310,372.1,3.82,0.916,0.915,0.01882,2.003
1,1.3,E12,38,Sunflower seeds,1311,372.1,3.82,0.916,0.915,0.01882,2.003
1,1.3,E12,38,Wheat straw,1300,372.1,3.99,0.8771,0.872,0.01882,2.012
1,1.3,E12,38,Wheat straw,1307,372.2,3.99,0.8771,0.872,0.01882,2.013
1,1.3,E12,38,Wheat straw,1308,372.1,3.99,0.8771,0.872,0.01882,2.012
1,1.3,E13,13,Blank,1141,650.2,,,,0.01712,
1,1.3,E13,13,Blank,1142,651.2,,,,0.01712,
1,1.3,E13,13,Blank,1143,650.6,,,,0.01712,
1,1.3,E13,13,Cellulose,1144,649.8,5.84,0.9951,0.989,0.01712,1.926
1,1.3,E13,13,Cellulose,1145,649.7,5.82,0.9951,0.989,0.01712,1.932
1,1.3,E13,13,Cellulose,1146,650.9,5.82,0.9951,0.989,0.01712,1.935
1,1.3,E13,13,Rabbit feed,1147,650.7,6.91,0.8005,0.803,0.01712,2.007
1,1.3,E13,13,Rabbit feed,1148,649.4,6.89,0.8005,0.803,0.01712,2.009
1,1.3,E13,13,Rabbit feed,1149,650,6.92,0.8005,0.803,0.01712,2.002
1,1.3,E13,13,Sunflower seeds,1153,650.9,6.13,0.911,0.915,0.01712,1.986
1,1.3,E13,13,Sunflower seeds,1154,649.9,6.19,0.911,0.915,0.01712,1.964
1,1.3,E13,13,Sunflower seeds,1155,651.4,6.45,0.911,0.915,0.01712,1.889
1,1.3,E13,13,Wheat straw,1150,648.9,6.64,0.8793,0.872,0.01712,1.918
1,1.3,E13,13,Wheat straw,1151,650,6.27,0.8793,0.872,0.01712,2.035
1,1.3,E13,13,Wheat straw,1152,650.4,6.31,0.8793,0.872,0.01712,2.023
1,1.3,E14,33,Blank,670,15,0,,,0.01608,
1,1.3,E14,33,Blank,671,15,0,,,0.01608,
1,1.3,E14,33,Blank,672,15,0,,,0.01608,
1,1.3,E14,33,Cellulose,673,15,0.1672,0.9924,0.989,0.01608,1.459
1,1.3,E14,33,Cellulose,674,15,0.1668,0.9924,0.989,0.01608,1.462
1,1.3,E14,33,Cellulose,675,15,0.1666,0.9924,0.989,0.01608,1.464
1,1.3,E14,33,Rabbit feed,676,15,0.2068,0.8034,0.803,0.01608,1.453
1,1.3,E14,33,Rabbit feed,677,15,0.2059,0.8034,0.803,0.01608,1.459
1,1.3,E14,33,Rabbit feed,678,15,0.2071,0.8034,0.803,0.01608,1.451
1,1.3,E14,33,Sunflower seeds,682,15,0.1842,0.9127,0.915,0.01608,1.431
1,1.3,E14,33,Sunflower seeds,683,15,0.1831,0.9127,0.915,0.01608,1.44
1,1.3,E14,33,Sunflower seeds,684,15,0.1836,0.9127,0.915,0.01608,1.436
1,1.3,E14,33,Wheat straw,679,15,0.1888,0.8851,0.872,0.01608,1.465
1,1.3,E14,33,Wheat straw,680,15,0.1885,0.8851,0.872,0.01608,1.468
1,1.3,E14,33,Wheat straw,681,15,0.189,0.8851,0.872,0.01608,1.464
1,1.3,E15,118,Blank,845,419.5,0,,,0.01345,
1,1.3,E15,118,Blank,852,403.5,0,,,0.01345,
1,1.3,E15,118,Blank,853,399.1,0,,,0.01345,
1,1.3,E15,118,Cellulose,854,395.1,5.41,0.9848,0.989,0.01345,0.9931
1,1.3,E15,118,Cellulose,855,404,5.5,0.9848,0.989,0.01345,0.9987
1,1.3,E15,118,Cellulose,856,404.5,5.4,0.9848,0.989,0.01345,1.019
1,1.3,E15,118,Rabbit feed,857,396.7,3.32,0.8056,0.803,0.01345,2.001
1,1.3,E15,118,Rabbit feed,858,398.1,3.31,0.8056,0.803,0.01345,2.014
1,1.3,E15,118,Rabbit feed,859,395,3.32,0.8056,0.803,0.01345,1.993
1,1.3,E15,118,Sunflower seeds,849,397.5,2.93,0.9146,0.915,0.01345,1.994
1,1.3,E15,118,Sunflower seeds,850,396.7,2.92,0.9146,0.915,0.01345,1.997
1,1.3,E15,118,Sunflower seeds,851,399.3,2.91,0.9146,0.915,0.01345,2.017
1,1.3,E15,118,Wheat straw,846,398,3.04,0.8779,0.872,0.01345,2.019
1,1.3,E15,118,Wheat straw,847,395.1,3.06,0.8779,0.872,0.01345,1.991
1,1.3,E15,118,Wheat straw,848,400.3,3.06,0.8779,0.872,0.01345,2.017
1,1.3,E16,111,Blank,1625,50,0,,,0.01075,
1,1.3,E16,111,Blank,1626,50,0,,,0.01075,
1,1.3,E16,111,Blank,1627,50,0,,,0.01075,
1,1.3,E16,111,Cellulose,1628,50,0.2727,0.9856,0.989,0.01075,1.993
1,1.3,E16,111,Cellulose,1629,50,0.2727,0.9856,0.989,0.01075,1.993
1,1.3,E16,111,Cellulose,1630,50,0.2727,0.9856,0.989,0.01075,1.993
1,1.3,E16,111,Rabbit feed,1622,50,0.334,0.8047,0.803,0.01075,2.004
1,1.3,E16,111,Rabbit feed,1623,50,0.334,0.8047,0.803,0.01075,2.004
1,1.3,E16,111,Rabbit feed,1624,50,0.334,0.8047,0.803,0.01075,2.004
1,1.3,E16,111,Sunflower seeds,1631,50,0.2974,0.9037,0.915,0.01075,1.975
